Date,Normalised,Uncertainty_0_lower,Uncertainty_0_upper,Uncertainty_1_lower,Uncertainty_1_upper,Value,arXiv,match
2010-10-05,72.6 \pm 2.9 (stat) \pm 2.3 (syst) km s^-1 Mpc^-1,2.9,2.9,2.3,2.3,72.6,1010.0831,72.6 \pm 2.9 ( stat ) \pm 2.3 ( syst ) \mathrm { km Mpc ^ { -1 } s ^ { -1 } }
2009-09-09,85.0 ^ +13.999999999999998 _ -13.0 km s^-1 Mpc^-1,13.0,13.999999999999998,,,85.0,0909.1807,85 ^ { +14 } _ { -13 } km s ^ { -1 } Mpc ^ { -1 }
2009-09-09,79.3 ^ +6.7 _ -8.5 km s^-1 Mpc^-1,8.5,6.7,,,79.3,0909.1807,79.3 ^ { +6.7 } _ { -8.5 } km s ^ { -1 } Mpc ^ { -1 }
2009-05-05,74.2 \pm 3.6 km s^-1 Mpc^-1,3.6,3.6,,,74.2,0905.0695,74.2 \pm 3.6 km s ^ { -1 } Mpc ^ { -1 }
2009-07-09,69.4 \pm 1.6 km s^-1 Mpc^-1,1.6,1.6,,,69.4,0907.1659,69.4 \pm 1.6 km s ^ { -1 } Mpc ^ { -1 } .
2009-07-10,68.2 \pm 2.2 km s^-1 Mpc^-1,2.2,2.2,,,68.2,0907.1660,68.2 \pm 2.2 { km } { s } ^ { -1 } { Mpc } ^ { -1 } that is
2009-03-05,61.5 ^ +8.0 _ -4.0 km s^-1 Mpc^-1,4.0,8.0,,,61.5,0903.1027,61.5 ^ { +8 } _ { -4 } km s ^ { -1 } Mpc ^ { -1 } .
2001-08-29,60.0 \pm 10.0 km s^-1 Mpc^-1,10.0,10.0,,,60.0,astro-ph/0108462,60 \pm 10 { ~ { } km~ { } s ^ { -1 } Mpc ^ { -1 } } .
2010-02-12,76.0 \pm 3.0 km s^-1 Mpc^-1,3.0,3.0,,,76.0,1002.2570,76 _ { -3 } ^ { +3 } km s ^ { -1 } Mpc ^ { -1 } .
2009-10-15,70.6 \pm 3.1 km s^-1 Mpc^-1,3.1,3.1,,,70.6,0910.2773,70.6 ^ { +3.1 } _ { -3.1 } { km s ^ { -1 } Mpc ^ { -1 } } .
2009-10-15,69.7 ^ +4.9 _ -5.0 km s^-1 Mpc^-1,5.0,4.9,,,69.7,0910.2773,69.7 ^ { +4.9 } _ { -5.0 } { km s ^ { -1 } Mpc ^ { -1 } } and w
2002-08-22,62.99999999999999 \pm 2.0 km s^-1 Mpc^-1,2.0,2.0,,,62.99999999999999,astro-ph/0208420,61-65 km s ^ { -1 } Mpc ^ { -1 }
2003-05-15,57.0 \pm 15.0 km s^-1 Mpc^-1,15.0,15.0,,,57.0,astro-ph/0305259,57 \pm 15 { km s } ^ { -1 } { Mpc } ^ { -1 }
2003-05-15,59.00000000000001 \pm 11.0 km s^-1 Mpc^-1,11.0,11.0,,,59.00000000000001,astro-ph/0305259,59 \pm 11 { km s } ^ { -1 } { Mpc } ^ { -1 }
2010-11-12,72.0 \pm 6.999999999999999 km s^-1 Mpc^-1,6.999999999999999,6.999999999999999,,,72.0,1011.2864,72 \pm 7 km s ^ { -1 } Mpc ^ { -1 } .
2012-02-10,75.0 ^ +10.0 _ -6.999999999999999 km s^-1 Mpc^-1,6.999999999999999,10.0,,,75.0,1202.2309,75 ^ { +10 } _ { -7 } km/s/Mpc
2003-06-02,48.0 \pm 3.0 km s^-1 Mpc^-1,3.0,3.0,,,48.0,astro-ph/0306040,48 \pm 3 km s ^ { -1 } Mpc ^ { -1 } for the
2003-06-02,71.0 \pm 3.0 km s^-1 Mpc^-1,3.0,3.0,,,71.0,astro-ph/0306040,71 \pm 3 km s ^ { -1 } Mpc ^ { -1 } is the
2003-06-10,75.0 ^ +6.999999999999999 _ -6.0 km s^-1 Mpc^-1,6.0,6.999999999999999,,,75.0,astro-ph/0306216,75 ^ { +7 } _ { -6 } km { s } ^ { -1 } { Mpc } ^ { -1 }
2012-02-16,75.9 \pm 3.8 km s^-1 Mpc^-1,3.8,3.8,,,75.9,1202.3832,75.9 \pm 3.8 km s ^ { -1 } Mpc ^ { -1 } .
2011-07-20,71.2 \pm 1.4 km s^-1 Mpc^-1,1.4,1.4,,,71.2,1107.4097,71.2 \pm 1.4 \mathrm { km } \mathrm { s ^ { -1 } Mpc ^ { -1 } } .
2009-10-29,72.0 \pm 8.0 km s^-1 Mpc^-1,8.0,8.0,,,72.0,0910.5775,72 \pm 8 km s ^ { -1 } Mpc ^ { -1 } and put an end to
2010-06-21,71.4 ^ +4.4 _ -3.4 km s^-1 Mpc^-1,3.4,4.4,,,71.4,1006.4200,71.4 ^ { +4.4 } _ { -3.4 } km s ^ { -1 } Mpc ^ { -1 }
2011-10-11,69.1 ^ +1.3 _ -1.5 km s^-1 Mpc^-1,1.5,1.3,,,69.1,1110.2310,69.1 ^ { +1.3 } _ { -1.5 } \mbox { km } / \mbox { s } / \mbox { Mpc }
2011-03-15,73.8 \pm 2.4 km s^-1 Mpc^-1,2.4,2.4,,,73.8,1103.2976,73.8 \pm 2.4 km s ^ { -1 } Mpc ^ { -1 }
2011-06-16,67.0 \pm 3.2 km s^-1 Mpc^-1,3.2,3.2,,,67.0,1106.3366,67 \pm 3.2 km s ^ { -1 } Mpc ^ { -1 }
2004-05-06,70.0 \pm 5.0 km s^-1 Mpc^-1,5.0,5.0,,,70.0,astro-ph/0405115,70 \pm 5 km s ^ { -1 } Mpc ^ { -1 }
2004-05-06,61.0 \pm 6.999999999999999 km s^-1 Mpc^-1,6.999999999999999,6.999999999999999,,,61.0,astro-ph/0405115,61 \pm 7 km s ^ { -1 } Mpc ^ { -1 }
2012-06-25,76.0 ^ +15.0 _ -5.0 km s^-1 Mpc^-1,5.0,15.0,,,76.0,1206.5801,76 ^ { +15 } _ { -5 } { km s ^ { -1 } Mpc ^ { -1 } }
2012-05-30,73.8 \pm 2.4 km s^-1 Mpc^-1,2.4,2.4,,,73.8,1205.6753,73.8 \pm 2.4 ~ { } km / s / Mpc
